K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
5;diag;0.36167580534846144;7576.408904607812;179370.0135057337;-0.779791781447966;50;cbow;WMD;MDS
6;spherical;0.35906389361388436;8374.222926415054;179469.02310959675;-0.7705870224660527;50;cbow;WMD;MDS
4;full;0.33952835345218535;6681.676846900705;179493.91921762444;-0.7862264860295441;50;cbow;WMD;MDS
5;spherical;0.3794839036198268;8542.923708231088;179716.7114788646;-0.7441079059550851;50;cbow;WMD;MDS
6;tied;0.39685869771455645;9195.814903405824;179803.15699339687;-0.7916958223184283;50;cbow;WMD;MDS
4;diag;0.2955299118614457;4518.510170281057;179869.8062029084;-0.7739688069339057;50;cbow;WMD;MDS
5;tied;0.27493204158515977;6065.182209272687;180001.62409160662;-0.8027936140785823;50;cbow;WMD;MDS
4;spherical;0.3032416670309494;4710.031516993961;180033.56171389975;-0.7748889902796163;50;cbow;WMD;MDS
3;full;0.34620174217352906;6066.854916808468;180143.50453410432;-0.821161841732894;50;cbow;WMD;MDS
4;tied;0.3178314863634568;6768.163112905578;180259.94031588166;-0.79770980837502;50;cbow;WMD;MDS
3;diag;0.3796716174735834;7269.129502250306;180887.62888184504;-0.8491813604391465;50;cbow;WMD;MDS
3;tied;0.37643271109516613;7138.924331311587;181122.39593650124;-0.840603908850488;50;cbow;WMD;MDS
2;full;0.35928686994587306;5754.39005093409;181510.62390016209;-0.8258897635345067;50;cbow;WMD;MDS
2;diag;0.3484503777847717;5403.044310652342;181555.33344255167;-0.8285642132649464;50;cbow;WMD;MDS
3;spherical;0.3942184090302873;7849.406222917599;181556.70506905855;-0.8366222154043883;50;cbow;WMD;MDS
2;tied;0.35823623532058096;5749.91264165731;181627.8536721804;-0.871509171431329;50;cbow;WMD;MDS
2;spherical;0.21649391587339917;2465.4486288287503;182299.59687677483;-0.8735440224955129;50;cbow;WMD;MDS
14;spherical;0.3448959573873303;9107.044482359584;167619.22816569265;-0.6595620373295907;75;cbow;WMD;MDS
12;full;0.35537854571485766;8736.600790287875;167640.32372482037;-0.6579120437841302;75;cbow;WMD;MDS
13;full;0.36166275934628717;9222.145007164467;167645.36459869894;-0.6609030459399824;75;cbow;WMD;MDS
14;tied;0.36414511867564575;9549.689651731871;167648.16666166;-0.6956714507737878;75;cbow;WMD;MDS
14;diag;0.352670969046465;9136.144502231968;167653.74356761904;-0.6532843526076778;75;cbow;WMD;MDS
14;full;0.35198686119314654;9070.336607670566;167653.9876724763;-0.6898036523083589;75;cbow;WMD;MDS
13;spherical;0.3549885290619601;9342.972306465486;167660.01075000915;-0.6628411985081737;75;cbow;WMD;MDS
11;full;0.3469961551937852;8809.451791289148;167665.15466845923;-0.7193311105904973;75;cbow;WMD;MDS
13;diag;0.3556853583235133;9302.546789612223;167676.82525324792;-0.6780710627153514;75;cbow;WMD;MDS
10;full;0.35198351215346424;8745.957323176677;167692.1677317118;-0.7393052036246336;75;cbow;WMD;MDS
9;full;0.35872689265270347;8877.808314200889;167719.9471292798;-0.7319965048799891;75;cbow;WMD;MDS
12;spherical;0.33536359909961205;8821.380116918925;167724.91671908865;-0.6764241758908659;75;cbow;WMD;MDS
12;diag;0.34520583502932506;8942.293398574002;167744.5005865854;-0.6617031698913943;75;cbow;WMD;MDS
13;tied;0.35420519671911227;9340.785414029424;167754.64513834138;-0.6889106090533326;75;cbow;WMD;MDS
8;full;0.3740693923135679;8735.69819497113;167765.23149055152;-0.7077541391667792;75;cbow;WMD;MDS
11;diag;0.35036267110480646;9120.251247166409;167786.4268552193;-0.6782505562231284;75;cbow;WMD;MDS
11;spherical;0.34376534302571166;9091.555940378401;167791.6796534489;-0.6699304177018831;75;cbow;WMD;MDS
12;tied;0.3576798455947857;9430.633376100735;167836.27896600493;-0.6545182106294549;75;cbow;WMD;MDS
7;full;0.3926974053641042;9161.205515268677;167837.394305413;-0.710745166668241;75;cbow;WMD;MDS
10;diag;0.35494456776729827;9040.92246592342;167861.7633443997;-0.7375527615817207;75;cbow;WMD;MDS
10;spherical;0.3508593048460522;9021.710235342793;167870.33337046657;-0.7065930333040755;75;cbow;WMD;MDS
11;tied;0.35706510057991453;9118.373147535487;167914.6274984855;-0.7461365748895303;75;cbow;WMD;MDS
9;diag;0.36443843584127605;9232.97853457404;167942.6594107725;-0.7239236603755486;75;cbow;WMD;MDS
9;spherical;0.36783933220021187;9364.563613029433;167981.5681648778;-0.7355964951085775;75;cbow;WMD;MDS
6;full;0.3932501052421467;8698.282249473625;168004.470562461;-0.7278973332753944;75;cbow;WMD;MDS
10;tied;0.36165120665669015;9158.433644589626;168013.51353310293;-0.6881258003073929;75;cbow;WMD;MDS
8;diag;0.38006792075876655;9478.630759445043;168066.53262787117;-0.7116247467344607;75;cbow;WMD;MDS
8;spherical;0.3827172828412895;9564.974908540771;168148.26505097345;-0.7668362013623269;75;cbow;WMD;MDS
5;full;0.35789954489827136;7686.8417161179395;168168.97079181887;-0.7507951544910483;75;cbow;WMD;MDS
7;diag;0.4011634101190958;9566.853768194891;168178.4122423396;-0.7124070657629435;75;cbow;WMD;MDS
9;tied;0.3649341223702062;9395.998457434986;168189.90556715944;-0.7255598539151983;75;cbow;WMD;MDS
8;tied;0.38228893436348416;9594.605146973203;168216.62510743606;-0.7359472730751248;75;cbow;WMD;MDS
6;diag;0.39550696791250656;8961.21566989554;168239.43229204163;-0.7142497154801875;75;cbow;WMD;MDS
7;tied;0.4001783773595955;9650.566592709873;168298.03228332876;-0.7162698049669424;75;cbow;WMD;MDS
7;spherical;0.40147790493317553;9661.126469073659;168311.67813762318;-0.7111576581010548;75;cbow;WMD;MDS
6;spherical;0.3508209762217204;8275.2078454879;168439.34766825422;-0.7315156833672254;75;cbow;WMD;MDS
5;diag;0.3778150167835089;8457.855375803627;168469.1906947574;-0.7381606089553598;75;cbow;WMD;MDS
4;full;0.36312236576432516;7367.433012829815;168558.75283989808;-0.7569429490257482;75;cbow;WMD;MDS
5;spherical;0.3773565059666008;8518.840151277296;168644.86575444057;-0.7426553991249356;75;cbow;WMD;MDS
4;diag;0.3830305862209285;7950.2690775180245;168791.23562282533;-0.7177023420446095;75;cbow;WMD;MDS
6;tied;0.3921641583722944;9189.742330662715;168840.24658578244;-0.7203642200199575;75;cbow;WMD;MDS
4;tied;0.34808551632309165;7317.669701857737;169033.48986300224;-0.7387275423353453;75;cbow;WMD;MDS
5;tied;0.33875183807556514;7023.80323930979;169056.8957597733;-0.7419259495793794;75;cbow;WMD;MDS
3;diag;0.33375083815887446;5488.471695363044;169258.76455693945;-0.7777121210083228;75;cbow;WMD;MDS
3;full;0.3919363423341398;7744.020119112196;169562.36890081211;-0.7853001100090907;75;cbow;WMD;MDS
4;spherical;0.39225118458725616;8496.879329581761;169730.97214028527;-0.7694482608404013;75;cbow;WMD;MDS
3;tied;0.38065320498327254;7124.874806897362;170173.46648672805;-0.7369006931013861;75;cbow;WMD;MDS
2;diag;0.31025010653821966;4313.2684101935865;170440.79986865984;-0.833525547244081;75;cbow;WMD;MDS
2;full;0.36186384492296236;5861.125558464443;170546.99059444462;-0.8568048448831838;75;cbow;WMD;MDS
2;tied;0.3614164972848949;5843.1440512053605;170625.02216533376;-0.7829180647728038;75;cbow;WMD;MDS
3;spherical;0.39444378161412974;7849.352492261397;170672.61432623552;-0.7572024875451355;75;cbow;WMD;MDS
2;spherical;0.3373587462147521;5234.48387211201;171960.42765290136;-0.8281920898526254;75;cbow;WMD;MDS
14;spherical;0.34241280644418637;8941.278265902885;159482.84525489152;-0.7007332554102923;100;cbow;WMD;MDS
14;full;0.33330778343507766;8591.167861524884;159524.94693676019;-0.6760301522231168;100;cbow;WMD;MDS
10;full;0.3412557367874132;8323.166454075845;159534.8775821452;-0.6905193807987751;100;cbow;WMD;MDS
13;full;0.33985455122160674;8725.013023847247;159535.8384281601;-0.6924905421264062;100;cbow;WMD;MDS
9;full;0.3423463828275853;7998.634884966475;159541.48648305656;-0.7393017498405373;100;cbow;WMD;MDS
14;tied;0.35287374798364685;9000.673607095818;159543.6970064468;-0.6875850743879925;100;cbow;WMD;MDS
13;spherical;0.3263721825809612;8412.457269579847;159544.3199380027;-0.698902417356444;100;cbow;WMD;MDS
11;full;0.34510826402458705;8480.530150888924;159558.32839205372;-0.7202733376585092;100;cbow;WMD;MDS
