K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
6;diag;0.3702972795940895;8259.319810875595;190829.43709582117;-0.8073861066944302;50;glove;WMD;Distance
5;full;0.3626434829444958;8175.737887362116;190854.18682008472;-0.8201201784623375;50;glove;WMD;Distance
7;tied;0.370322636935803;8500.017677324468;190860.08162433802;-0.8272478614741761;50;glove;WMD;Distance
6;tied;0.3278092965256381;7607.431661068676;190936.3557730344;-0.7987340736423516;50;glove;WMD;Distance
5;diag;0.3615966119709716;8266.17722723374;191005.50230977772;-0.8436729680749387;50;glove;WMD;Distance
6;spherical;0.36843024023039533;8340.498479017668;191058.06679678697;-0.8449758787097795;50;glove;WMD;Distance
5;tied;0.36347186789579516;8300.389821593548;191103.50725378262;-0.8470611295523027;50;glove;WMD;Distance
4;full;0.3611788459119444;7560.70564871196;191135.61178648425;-0.8320693710030302;50;glove;WMD;Distance
4;diag;0.35477425359082043;7401.341071508278;191183.18101868147;-0.8505135316994871;50;glove;WMD;Distance
5;spherical;0.36224220319549516;8335.490954729567;191193.34244641228;-0.8004941623140984;50;glove;WMD;Distance
4;tied;0.33528356635380857;7095.2982598972985;191424.38819470405;-0.8984639272103017;50;glove;WMD;Distance
3;full;0.3682365707960215;7225.924270028637;191512.8517278474;-0.8743192716316268;50;glove;WMD;Distance
3;diag;0.35410954931209904;6937.106434705158;191667.5914584232;-0.8950107404723953;50;glove;WMD;Distance
4;spherical;0.35265933888226925;7637.260673019213;191701.65296092007;-0.8406157916737149;50;glove;WMD;Distance
3;tied;0.30268583146385986;5707.9923446191115;192120.5583974682;-0.8565171542867939;50;glove;WMD;Distance
2;diag;0.37522862992608064;6873.965426543032;192217.1530989352;-0.8914316629459278;50;glove;WMD;Distance
2;tied;0.38234145849870005;7312.877772442113;192245.8142756876;-0.959014171038596;50;glove;WMD;Distance
3;spherical;0.36304804947154684;7160.5601092368515;192250.53088121963;-0.8801160998712148;50;glove;WMD;Distance
2;full;0.38230019875662274;7304.454708595902;192256.20122658362;-0.9587818659317704;50;glove;WMD;Distance
2;spherical;0.3819734896034063;7289.413300073496;192531.74831440733;-0.8937290337513206;50;glove;WMD;Distance
