K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
10;tied;0.1869778104764322;2091.6566516498374;-116704.06065991541;-0.750450726867185;;cbow;Moyenne;TFIDF
13;diag;0.124377262189588;6025.6448814310925;-116328.2869712729;-0.6575259473579022;;cbow;Moyenne;TFIDF
9;tied;0.20638429342216255;2064.830131623845;-116206.53854892321;-0.8196574213196317;;cbow;Moyenne;TFIDF
12;diag;0.12487951546300592;5867.992461654534;-116064.32915038933;-0.6778737155967272;;cbow;Moyenne;TFIDF
11;diag;0.13891053067357503;5864.475718417346;-115666.3708611822;-0.7035978250457466;;cbow;Moyenne;TFIDF
8;tied;0.20663666494069785;3777.983774673299;-115394.36687654695;-0.7527444660503115;;cbow;Moyenne;TFIDF
10;diag;0.14112172791807484;6364.103139278537;-115207.58179651662;-0.6886039727268655;;cbow;Moyenne;TFIDF
9;diag;0.1731590948252433;6621.385006087979;-114562.78047073862;-0.6895086093389582;;cbow;Moyenne;TFIDF
7;tied;0.2916901790469438;4749.830125883999;-114221.70683803372;-0.8151959668572426;;cbow;Moyenne;TFIDF
8;diag;0.15606563385105066;5822.598062656124;-113981.43295803458;-0.7142017485463007;;cbow;Moyenne;TFIDF
6;tied;0.34285258645786326;5450.297380207386;-113943.49531333928;-0.802233764309082;;cbow;Moyenne;TFIDF
5;tied;0.3458447313541678;2914.122221397879;-113921.99634958338;-0.7901470423497239;;cbow;Moyenne;TFIDF
7;diag;0.19224673164098594;6443.989144897556;-112896.96457899478;-0.740403207806829;;cbow;Moyenne;TFIDF
6;diag;0.2197897281491477;7215.991919900778;-111637.83786740959;-0.7159807003862719;;cbow;Moyenne;TFIDF
4;tied;0.33384331614442697;6881.537860750714;-110727.24085779286;-0.8066061753803304;;cbow;Moyenne;TFIDF
2;tied;0.4633793276045139;1416.465707169789;-110565.56265267049;-0.6183970964355959;;cbow;Moyenne;TFIDF
3;tied;0.4641054673030304;8577.502680214558;-110543.29622257051;-0.7670595122956847;;cbow;Moyenne;TFIDF
5;diag;0.2597358055200523;8081.305710443432;-109512.81987157189;-0.750500162896444;;cbow;Moyenne;TFIDF
4;diag;0.31832705264685357;8994.687860887756;-106247.89949155781;-0.7663131533190383;;cbow;Moyenne;TFIDF
14;spherical;0.27777702074075156;11908.117618545424;-105045.42869877352;-0.6354244774663375;;cbow;Moyenne;TFIDF
13;spherical;0.30259211852907336;12676.84398140938;-103438.5446533413;-0.6183136801602513;;cbow;Moyenne;TFIDF
12;spherical;0.2942566621041471;11861.034109439051;-102135.74274685614;-0.6438039762369293;;cbow;Moyenne;TFIDF
11;spherical;0.2874828589944103;10338.82643283928;-101100.20224089298;-0.6540240573363795;;cbow;Moyenne;TFIDF
3;diag;0.3673934523498698;9736.861392963823;-100208.8523044955;-0.8184090633490531;;cbow;Moyenne;TFIDF
10;spherical;0.3077385535486272;11111.412114938279;-98358.72973660717;-0.6555673078563825;;cbow;Moyenne;TFIDF
9;spherical;0.3163137043019967;11090.825578231654;-96350.85374911781;-0.648562320015242;;cbow;Moyenne;TFIDF
8;spherical;0.3066121472941764;9088.591587169418;-93170.56168651789;-0.6654589486360558;;cbow;Moyenne;TFIDF
7;spherical;0.31993712513494704;10033.5492793156;-89869.92583517202;-0.7315864243053665;;cbow;Moyenne;TFIDF
2;diag;0.4534078946931335;8844.887169906277;-89228.9023550435;-0.6473825364007137;;cbow;Moyenne;TFIDF
6;spherical;0.3461044532433646;11601.12657507264;-84893.6536291672;-0.7281875923204358;;cbow;Moyenne;TFIDF
5;spherical;0.3709202649096089;12938.100011020419;-78503.73874084244;-0.7297386954777643;;cbow;Moyenne;TFIDF
4;spherical;0.3931172610882037;13415.176041904002;-69219.84331742275;-0.7725421826599994;;cbow;Moyenne;TFIDF
3;spherical;0.4357884519454704;14152.932869734768;-54841.85215769456;-0.7582582629759431;;cbow;Moyenne;TFIDF
2;spherical;0.507716832020168;13919.439615284535;-31643.459353055663;-0.776835650810288;;cbow;Moyenne;TFIDF
14;full;0.35683145333938265;13170.184617563735;181304.84252979912;-0.6127296310233503;50;cbow;Moyenne;TFIDF
13;full;0.38049937152650526;13693.015715957454;181352.36860170675;-0.5900349911403334;50;cbow;Moyenne;TFIDF
12;full;0.3757700611692955;13538.219647809558;181566.85506642988;-0.6007955798245296;50;cbow;Moyenne;TFIDF
11;full;0.3928433176611309;13938.311416360286;181705.08500735383;-0.603682184434641;50;cbow;Moyenne;TFIDF
14;diag;0.3743097349494695;14456.141856644319;181807.6758130388;-0.6321218402063051;50;cbow;Moyenne;TFIDF
10;full;0.3403934521385102;11742.234036787273;181892.84730993418;-0.6258677833581192;50;cbow;Moyenne;TFIDF
13;diag;0.38599403735711285;14307.54675285488;181930.34031951593;-0.6121715539595186;50;cbow;Moyenne;TFIDF
12;diag;0.39367877513317434;14836.056550420963;182177.0136454137;-0.6734006847421934;50;cbow;Moyenne;TFIDF
9;full;0.3727220091801923;12469.155214656912;182217.3346310668;-0.6242807133715809;50;cbow;Moyenne;TFIDF
11;diag;0.3941458257260943;14339.510254833887;182242.24580743926;-0.6175019257981622;50;cbow;Moyenne;TFIDF
9;diag;0.37968659858466586;12781.107327146652;182481.87183613307;-0.677726401087485;50;cbow;Moyenne;TFIDF
10;diag;0.36893392137010006;13753.91926977988;182503.46719512803;-0.6492503331103545;50;cbow;Moyenne;TFIDF
14;spherical;0.3722919415828853;14522.72133907813;182681.5139007872;-0.6434774890936739;50;cbow;Moyenne;TFIDF
8;full;0.38966639018884214;12867.55477246204;182732.62205528418;-0.6621927117394795;50;cbow;Moyenne;TFIDF
7;full;0.3959047768438498;12429.7447451955;182990.14603856677;-0.7016180537041338;50;cbow;Moyenne;TFIDF
14;tied;0.3761873593255411;14695.416630450893;183077.1038491978;-0.6548350471732479;50;cbow;Moyenne;TFIDF
8;diag;0.3682310626089645;12333.343370011064;183090.62018152;-0.7045760994270974;50;cbow;Moyenne;TFIDF
13;spherical;0.37882065543886706;14920.872428062905;183113.34694019894;-0.5575219942138097;50;cbow;Moyenne;TFIDF
7;diag;0.3917536466644771;11296.52745095661;183183.80701758532;-0.6984185980085389;50;cbow;Moyenne;TFIDF
13;tied;0.38681034848084156;15109.341141327937;183189.53774268142;-0.5769204902193363;50;cbow;Moyenne;TFIDF
12;spherical;0.39874608767272285;15119.505566789612;183265.0464369697;-0.6406566281203935;50;cbow;Moyenne;TFIDF
6;full;0.3961005807181206;11336.408919399339;183274.5450039976;-0.6190282548623977;50;cbow;Moyenne;TFIDF
12;tied;0.39813555257025707;15163.707229912205;183369.78976795214;-0.6203683625729776;50;cbow;Moyenne;TFIDF
11;spherical;0.400318969959092;14825.086317502866;183478.7413809634;-0.6343703446795128;50;cbow;Moyenne;TFIDF
10;spherical;0.37486019975463497;14062.468694780617;183704.68244356257;-0.6490450123848763;50;cbow;Moyenne;TFIDF
5;full;0.4246100488902282;10692.828866066891;183708.91235396866;-0.6420359457107547;50;cbow;Moyenne;TFIDF
11;tied;0.4052423642168968;15030.109928180213;183740.45597964086;-0.6385468159123567;50;cbow;Moyenne;TFIDF
6;diag;0.40171614615647877;10495.741923241068;183824.01383250946;-0.7536963745065425;50;cbow;Moyenne;TFIDF
9;spherical;0.3957512781431088;13982.569132523793;184162.23593011298;-0.6713670574912173;50;cbow;Moyenne;TFIDF
10;tied;0.3797264664242554;14395.703113252715;184239.55962184645;-0.6060410972006065;50;cbow;Moyenne;TFIDF
9;tied;0.3941627162564709;14630.02582149914;184615.4476938656;-0.6490736309099316;50;cbow;Moyenne;TFIDF
8;spherical;0.40609276460552474;14480.355505586826;184934.63456732905;-0.6522562164703513;50;cbow;Moyenne;TFIDF
8;tied;0.40482145756485444;14508.524097982423;185068.62448669324;-0.6208072279310366;50;cbow;Moyenne;TFIDF
7;tied;0.4193488637427702;14348.816219465336;185551.9058411427;-0.6379720492246163;50;cbow;Moyenne;TFIDF
7;spherical;0.4195695133930564;14374.834413200424;185580.1520954859;-0.6855873375545766;50;cbow;Moyenne;TFIDF
5;diag;0.4427132307757452;12882.450841578397;185619.60424866926;-0.7167271694494329;50;cbow;Moyenne;TFIDF
4;full;0.45018923080438045;11647.7527339328;186077.1734920462;-0.6982493593886756;50;cbow;Moyenne;TFIDF
4;diag;0.43951177572242606;10843.102362721453;186468.98493918267;-0.7783144990141945;50;cbow;Moyenne;TFIDF
6;tied;0.4330878905468714;13827.960174521158;186506.29823128798;-0.6630113725547402;50;cbow;Moyenne;TFIDF
6;spherical;0.43617385703324535;13749.380104001944;186510.45211580995;-0.6957837875707553;50;cbow;Moyenne;TFIDF
5;tied;0.44832387232427257;13319.451587427538;187199.28480766233;-0.6639602399492637;50;cbow;Moyenne;TFIDF
3;full;0.4404082279105276;9438.407634051315;187409.40569328476;-0.6412205251025556;50;cbow;Moyenne;TFIDF
5;spherical;0.45517389652803325;13614.182741311377;187480.42820454834;-0.6943131123506359;50;cbow;Moyenne;TFIDF
3;diag;0.41980482263351326;8588.683215071664;187911.8750318073;-0.7575499378787521;50;cbow;Moyenne;TFIDF
4;tied;0.4051952714447832;10348.65487628076;188219.6243157078;-0.7860026602640517;50;cbow;Moyenne;TFIDF
4;spherical;0.4543239684796755;11896.29873953875;189534.374327499;-0.7395400570728035;50;cbow;Moyenne;TFIDF
3;tied;0.44109767004965394;9150.173862114758;190588.7642668965;-0.7714749447980669;50;cbow;Moyenne;TFIDF
2;full;0.40985914610862473;6786.950125983377;190663.83310964832;-0.6334659222309104;50;cbow;Moyenne;TFIDF
2;diag;0.4114476682242781;6761.680632192479;191219.96725619526;-0.6995431447957727;50;cbow;Moyenne;TFIDF
2;tied;0.41140557602460853;6768.292372281818;191498.69817014303;-0.6996261499747458;50;cbow;Moyenne;TFIDF
3;spherical;0.4560860735508604;9980.85011787509;192045.28853560754;-0.786799015147025;50;cbow;Moyenne;TFIDF
2;spherical;0.24618973081388218;2992.39016282526;194044.08037410947;-0.7979748597713843;50;cbow;Moyenne;TFIDF
14;full;0.38810708671472155;16085.90040776698;172289.30656373792;-0.6489194261471118;75;cbow;Moyenne;TFIDF
13;full;0.38810523704354116;16587.451832103714;172457.47462407555;-0.6032497615735288;75;cbow;Moyenne;TFIDF
11;full;0.4036721659982933;16324.804836499348;172711.61023486176;-0.6725621526135723;75;cbow;Moyenne;TFIDF
12;full;0.3995792565049278;16841.362223671338;172713.7405471612;-0.6482314438241061;75;cbow;Moyenne;TFIDF
