model;dim;corr_p;corr_s;stress;time
skipgram;1;0.7162716422851102;0.6938620555665596;1017924161626.4788;7986.509262084961
skipgram;2;0.8871488923619272;0.8471987416694902;319855253231.30835;10325.157995939255
skipgram;3;0.926593624034864;0.8964747113043391;163451296605.44177;10271.73771905899
skipgram;4;0.9469190716922048;0.9217842678699296;100839760493.49463;10305.897635221481
skipgram;5;0.9588705566979057;0.9366166876452215;70216497371.6051;10355.477140665054
skipgram;20;0.9896563394337324;0.9818185555713138;12905144033.323912;10557.88916182518
skipgram;50;0.9939876944997726;0.9894066221931268;7219986942.0942135;10644.027473211288
skipgram;100;0.995001440114747;0.9912686494320938;5976592815.563197;11018.7687458992
skipgram;200;0.9955494507463077;0.9922587239937896;5323399119.348001;11011.275929450989
skipgram;300;0.995723581490284;0.9925793807735634;5118579104.566617;11216.66443991661
skipgram;500;0.9958565182015675;0.9928289302109845;4962839102.689979;11259.598037719727
skipgram;1000;0.9959616945421516;0.9930057654421427;4839922021.921631;11832.300035476685
