K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
5;random;10;0.0001;4670633.5;0.4242218415100358;12101.973439453488;-0.7251119649357843;kmeans;50;cbow;Moyenne;TF
5;k-means++;10;0.0001;4670771.0;0.4241352675285027;12101.220851911557;-0.7240639234017243;kmeans;50;cbow;Moyenne;TF
4;random;10;0.0001;6092284.0;0.444807081844542;11632.683649167877;-0.6596871677306934;kmeans;50;cbow;Moyenne;TF
4;k-means++;10;0.0001;6093207.0;0.44439393745477035;11630.999599525989;-0.714397049609383;kmeans;50;cbow;Moyenne;TF
3;k-means++;10;0.0001;9150038.0;0.45270235341493337;10032.022653116723;-0.5768368715798505;kmeans;50;cbow;Moyenne;TF
3;random;10;0.0001;9150269.0;0.45270612102786106;10031.875411623812;-0.5705620503499953;kmeans;50;cbow;Moyenne;TF
2;random;10;0.0001;16033509.0;0.41885591345220635;7373.384322694344;-0.6735230639478087;kmeans;50;cbow;Moyenne;TF
2;k-means++;10;0.0001;16033509.0;0.41885591345220635;7373.384322694344;-0.6735230639478087;kmeans;50;cbow;Moyenne;TF
14;k-means++;10;0.0001;948636.125;0.39110095076287804;14792.683269465844;-0.6052265792837146;kmeans;75;cbow;Moyenne;TF
14;random;10;0.0001;952041.8125;0.389397942430026;14737.06442377905;-0.6300278958114124;kmeans;75;cbow;Moyenne;TF
13;k-means++;10;0.0001;1045309.9375;0.3937842712930289;14471.148109458016;-0.6165723379807625;kmeans;75;cbow;Moyenne;TF
13;random;10;0.0001;1045970.3125;0.3949208734311696;14462.107285939766;-0.5598050305334519;kmeans;75;cbow;Moyenne;TF
12;k-means++;10;0.0001;1155154.75;0.3979103939393603;14205.315369713851;-0.5602312204411782;kmeans;75;cbow;Moyenne;TF
12;random;10;0.0001;1155895.5;0.40061688279438695;14195.540809248423;-0.6152936380261473;kmeans;75;cbow;Moyenne;TF
11;random;10;0.0001;1270449.75;0.4017813115533066;14123.28463535119;-0.6245456982108928;kmeans;75;cbow;Moyenne;TF
11;k-means++;10;0.0001;1270672.25;0.4005830699395627;14120.549974420728;-0.6257124176195964;kmeans;75;cbow;Moyenne;TF
10;random;10;0.0001;1428436.875;0.38906761985045435;13842.074561372743;-0.6675030658598744;kmeans;75;cbow;Moyenne;TF
10;k-means++;10;0.0001;1431035.625;0.38626109597611413;13814.649065188061;-0.6028420711192864;kmeans;75;cbow;Moyenne;TF
9;k-means++;10;0.0001;1609972.5;0.3955024892165765;13683.552691374147;-0.6288813058127725;kmeans;75;cbow;Moyenne;TF
9;random;10;0.0001;1610045.375;0.38987314795729694;13683.161151529885;-0.6705724075784344;kmeans;75;cbow;Moyenne;TF
8;k-means++;10;0.0001;1856303.875;0.39854747663025347;13384.328834231977;-0.6712876788469838;kmeans;75;cbow;Moyenne;TF
8;random;10;0.0001;1856715.375;0.3978690600775177;13381.649576190877;-0.6985557602304074;kmeans;75;cbow;Moyenne;TF
6;k-means++;10;0.0001;2525431.75;0.41510989219675176;13273.397397705165;-0.6729320222557458;kmeans;75;cbow;Moyenne;TF
6;random;10;0.0001;2525495.5;0.41512937077682593;13272.951501306996;-0.6583364885139602;kmeans;75;cbow;Moyenne;TF
7;k-means++;10;0.0001;2157180.25;0.3935068072883082;13217.927435289148;-0.6067679072809762;kmeans;75;cbow;Moyenne;TF
7;random;10;0.0001;2161268.0;0.3938808371895071;13190.526264913342;-0.610873389728746;kmeans;75;cbow;Moyenne;TF
5;k-means++;10;0.0001;3122312.25;0.44093140150403354;12967.685615631826;-0.6632828468292823;kmeans;75;cbow;Moyenne;TF
5;random;10;0.0001;3122297.25;0.4407249676034864;12967.649593568965;-0.6622680678076536;kmeans;75;cbow;Moyenne;TF
4;random;10;0.0001;4207213.5;0.451329795971534;12016.270523065326;-0.5846705175185412;kmeans;75;cbow;Moyenne;TF
4;k-means++;10;0.0001;4207224.0;0.4513242042439152;12016.228065918116;-0.5996181326170094;kmeans;75;cbow;Moyenne;TF
3;random;10;0.0001;6328897.5;0.4629296614308616;10391.11128957093;-0.5149747870399141;kmeans;75;cbow;Moyenne;TF
3;k-means++;10;0.0001;6328896.5;0.4629296614308616;10391.11128957093;-0.5149747870399141;kmeans;75;cbow;Moyenne;TF
2;k-means++;10;0.0001;10968297.0;0.4372963839934799;7975.21440825111;-0.72931181205609;kmeans;75;cbow;Moyenne;TF
2;random;10;0.0001;10968321.0;0.4373048302813435;7975.185415803727;-0.7293143809804742;kmeans;75;cbow;Moyenne;TF
14;k-means++;10;0.0001;692604.4375;0.3936759705056903;16245.248523684284;-0.5603705063990181;kmeans;100;cbow;Moyenne;TF
14;random;10;0.0001;693672.75;0.3932524459118441;16220.599554482398;-0.5084027837312947;kmeans;100;cbow;Moyenne;TF
13;k-means++;10;0.0001;770454.375;0.38916513420532034;15743.105587743623;-0.6000088178024775;kmeans;100;cbow;Moyenne;TF
13;random;10;0.0001;770929.875;0.38955071993208146;15733.185190680728;-0.6146799083652392;kmeans;100;cbow;Moyenne;TF
12;k-means++;10;0.0001;852119.0625;0.3925414657042413;15446.584280503079;-0.6452088165460369;kmeans;100;cbow;Moyenne;TF
12;random;10;0.0001;854653.75;0.4005089430828877;15398.335939106133;-0.6040230846694932;kmeans;100;cbow;Moyenne;TF
