K;initialisation;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2;nb_iter;tolerance
13;heuristic;1771893.0;0.009792542473799988;;-0.74335933324286;kmedoides;;skipgram;WMD;Distance;;
14;heuristic;1766692.0;0.005760280855787286;;-0.7390286890175551;kmedoides;;skipgram;WMD;Distance;;
13;random;2169964.0;0.39635837486439657;10157.175643270204;-0.7354620635616618;kmeans;50;skipgram;WMD;Distance;10;0.0001
13;k-means++;2169977.25;0.39652988350300217;10157.082281670373;-0.744857756206565;kmeans;50;skipgram;WMD;Distance;10;0.0001
12;random;2356918.25;0.3959022860533344;10134.204929330474;-0.7636769611527068;kmeans;50;skipgram;WMD;Distance;10;0.0001
11;k-means++;2576178.0;0.3958193608963428;10119.107919083839;-0.6995126071797187;kmeans;50;skipgram;WMD;Distance;10;0.0001
11;random;2576515.5;0.39585264448415486;10117.802927255425;-0.704942223650066;kmeans;50;skipgram;WMD;Distance;10;0.0001
14;k-means++;2021810.0;0.37965285332456344;10115.44442114926;-0.7260262649591425;kmeans;50;skipgram;WMD;Distance;10;0.0001
14;random;2021972.125;0.3798804695876655;10114.993633960019;-0.7371261254597536;kmeans;50;skipgram;WMD;Distance;10;0.0001
12;k-means++;2366125.5;0.3954199250682855;10091.6808962262;-0.7746003446416077;kmeans;50;skipgram;WMD;Distance;10;0.0001
10;k-means++;2864881.75;0.38720971191940606;10005.243203630178;-0.733682199602355;kmeans;50;skipgram;WMD;Distance;10;0.0001
10;random;2865046.5;0.38718294826737143;10004.652843408268;-0.729934111687491;kmeans;50;skipgram;WMD;Distance;10;0.0001
9;random;3225495.75;0.3958209243047227;9865.96640577624;-0.7480582234470469;kmeans;50;skipgram;WMD;Distance;10;0.0001
9;k-means++;3225550.0;0.3958279834875002;9865.758547841353;-0.7259519660372652;kmeans;50;skipgram;WMD;Distance;10;0.0001
8;random;3782672.25;0.381299290619707;9415.739988955458;-0.8071732185141135;kmeans;50;skipgram;WMD;Distance;10;0.0001
8;k-means++;3794188.0;0.38325248413432583;9383.307649733262;-0.7989859277140126;kmeans;50;skipgram;WMD;Distance;10;0.0001
4;random;7599761.0;0.4015079114113441;9349.823092811965;-0.8212458966285667;kmeans;50;skipgram;WMD;Distance;10;0.0001
4;k-means++;7599879.5;0.4011220521836397;9349.614929892217;-0.8568315955925723;kmeans;50;skipgram;WMD;Distance;10;0.0001
6;random;5128992.0;0.37221658798169477;9225.43805588524;-0.8372030768852764;kmeans;50;skipgram;WMD;Distance;10;0.0001
6;k-means++;5129021.0;0.37319968876868403;9225.357665372172;-0.819774797576599;kmeans;50;skipgram;WMD;Distance;10;0.0001
5;random;6182080.0;0.37279978837405947;9164.124395265195;-0.8741150062350691;kmeans;50;skipgram;WMD;Distance;10;0.0001
5;k-means++;6182288.5;0.3726414355648047;9163.782807010339;-0.8363267620382365;kmeans;50;skipgram;WMD;Distance;10;0.0001
7;random;4441489.0;0.3638798393859947;9121.96762457937;-0.7883598285816376;kmeans;50;skipgram;WMD;Distance;10;0.0001
7;k-means++;4441582.0;0.36435281270393116;9121.744671762044;-0.7783298560648088;kmeans;50;skipgram;WMD;Distance;10;0.0001
