K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
11;k-means++;10;0.0001;2216748.25;0.34981444402946993;7780.999717577843;-0.777122964381349;kmeans;50;glove;Moyenne;TF
12;k-means++;10;0.0001;2036419.375;0.3462480293202056;7775.775501408263;-0.7590522626954997;kmeans;50;glove;Moyenne;TF
12;random;10;0.0001;2037099.5;0.3473336807818032;7772.811713169137;-0.7696159573205454;kmeans;50;glove;Moyenne;TF
9;k-means++;10;0.0001;2701686.75;0.35179057846652545;7769.391455328487;-0.7941517073636194;kmeans;50;glove;Moyenne;TF
6;random;10;0.0001;4005554.0;0.36521800504462937;7768.635180472702;-0.8111074573460244;kmeans;50;glove;Moyenne;TF
6;k-means++;10;0.0001;4005578.75;0.3651315532819837;7768.584140856253;-0.8120214971641322;kmeans;50;glove;Moyenne;TF
10;k-means++;10;0.0001;2437838.0;0.3473904900272695;7766.76144866653;-0.7955162939220218;kmeans;50;glove;Moyenne;TF
8;k-means++;10;0.0001;3043632.0;0.34635231098345975;7729.79253703662;-0.792150123165244;kmeans;50;glove;Moyenne;TF
8;random;10;0.0001;3044942.5;0.3455233091996902;7726.188877629653;-0.8038332003953489;kmeans;50;glove;Moyenne;TF
11;random;10;0.0001;2232785.0;0.34426461271648034;7718.310135727617;-0.7941168427030894;kmeans;50;glove;Moyenne;TF
10;random;10;0.0001;2465841.75;0.3394035816299506;7666.584858092227;-0.801416979977825;kmeans;50;glove;Moyenne;TF
5;k-means++;10;0.0001;4828148.5;0.3533198933050646;7652.686423770582;-0.8683593930832547;kmeans;50;glove;Moyenne;TF
5;random;10;0.0001;4828788.5;0.3533244998118673;7651.890223925359;-0.8678944368490366;kmeans;50;glove;Moyenne;TF
9;random;10;0.0001;2741940.0;0.347036685751934;7637.5903951253895;-0.8114964944241109;kmeans;50;glove;Moyenne;TF
4;random;10;0.0001;6097562.5;0.35500383178414935;7421.155618176954;-0.8459475949143396;kmeans;50;glove;Moyenne;TF
4;k-means++;10;0.0001;6098438.5;0.3550216658407143;7419.969391423367;-0.8485677406657821;kmeans;50;glove;Moyenne;TF
3;k-means++;10;0.0001;8254959.0;0.36153132449225833;6982.309056648685;-0.8658081281259872;kmeans;50;glove;Moyenne;TF
3;random;10;0.0001;8255084.0;0.36162632942580303;6982.145508784655;-0.8690222927440222;kmeans;50;glove;Moyenne;TF
2;random;10;0.0001;12245852.0;0.35808271128688046;6318.752432935358;-0.7792641448043902;kmeans;50;glove;Moyenne;TF
2;k-means++;10;0.0001;12246077.0;0.3581003885406092;6318.488515781324;-0.779277505768495;kmeans;50;glove;Moyenne;TF
7;random;10;0.0001;1671265.625;0.3650975200848275;7847.144078206046;-0.8247701362701908;kmeans;75;glove;Moyenne;TF
7;k-means++;10;0.0001;1671323.125;0.3651931364863034;7846.918517936905;-0.8283254918728454;kmeans;75;glove;Moyenne;TF
9;random;10;0.0001;1323266.5;0.35670760580207506;7743.764905943395;-0.7677862233844999;kmeans;75;glove;Moyenne;TF
9;k-means++;10;0.0001;1325725.125;0.3554156786303992;7727.242900122181;-0.7807451463914485;kmeans;75;glove;Moyenne;TF
12;random;10;0.0001;1005035.9375;0.35332848796146554;7685.92747536232;-0.7670015550327448;kmeans;75;glove;Moyenne;TF
12;k-means++;10;0.0001;1005042.8125;0.3545258539261097;7685.715047586799;-0.755364422609737;kmeans;75;glove;Moyenne;TF
8;random;10;0.0001;1493810.25;0.35886467355360285;7685.5470110802;-0.7998864951023399;kmeans;75;glove;Moyenne;TF
11;k-means++;10;0.0001;1095297.875;0.3529065170690486;7680.463109708652;-0.7742889388764875;kmeans;75;glove;Moyenne;TF
8;k-means++;10;0.0001;1495198.875;0.35111611983047025;7677.257657380883;-0.8310438722082004;kmeans;75;glove;Moyenne;TF
11;random;10;0.0001;1096529.625;0.3509877072577183;7670.53023541765;-0.7717255639453424;kmeans;75;glove;Moyenne;TF
10;random;10;0.0001;1205595.5;0.35370278730766275;7657.181525487555;-0.7831035499811909;kmeans;75;glove;Moyenne;TF
10;k-means++;10;0.0001;1206253.375;0.3535874774806935;7653.055436114665;-0.7958213943222614;kmeans;75;glove;Moyenne;TF
13;k-means++;10;0.0001;933419.0625;0.34659166244747314;7645.986440824259;-0.7465717849320369;kmeans;75;glove;Moyenne;TF
14;random;10;0.0001;868453.5;0.343806151735529;7639.420463977887;-0.7178131438387995;kmeans;75;glove;Moyenne;TF
14;k-means++;10;0.0001;868735.5;0.3445583152396713;7636.546970641779;-0.741725491808422;kmeans;75;glove;Moyenne;TF
13;random;10;0.0001;935570.6875;0.3480662189526535;7626.4968830314865;-0.7557206607783722;kmeans;75;glove;Moyenne;TF
6;k-means++;10;0.0001;2002539.75;0.36195442613165174;7545.577037394134;-0.8459502744135748;kmeans;75;glove;Moyenne;TF
6;random;10;0.0001;2004021.625;0.36195907318210074;7538.7221574185805;-0.8261044492995595;kmeans;75;glove;Moyenne;TF
4;random;10;0.0001;3020335.75;0.34965431846302675;7273.092205156264;-0.8774488564511418;kmeans;75;glove;Moyenne;TF
4;k-means++;10;0.0001;3020705.5;0.35011020399125065;7271.9310061257775;-0.8800516600340348;kmeans;75;glove;Moyenne;TF
5;k-means++;10;0.0001;2454848.5;0.33629464848213425;7257.519147109446;-0.8539424710264689;kmeans;75;glove;Moyenne;TF
5;random;10;0.0001;2455192.25;0.3361999708910305;7256.177771433324;-0.8327461413551096;kmeans;75;glove;Moyenne;TF
3;random;10;0.0001;4032411.75;0.36459897888509585;6980.408615789877;-0.8595678409582327;kmeans;75;glove;Moyenne;TF
3;k-means++;10;0.0001;4032432.0;0.36459301366384816;6980.298055716477;-0.859582334112884;kmeans;75;glove;Moyenne;TF
2;k-means++;10;0.0001;6138090.0;0.35165557331181413;5913.728620204006;-0.91881855963915;kmeans;75;glove;Moyenne;TF
2;random;10;0.0001;6138114.5;0.35176598650527807;5913.700171180166;-0.918807915376153;kmeans;75;glove;Moyenne;TF
6;k-means++;10;0.0001;1205818.125;0.36578972277640615;7556.015609746424;-0.8200346803715705;kmeans;100;glove;Moyenne;TF
6;random;10;0.0001;1205818.375;0.36578972277640615;7556.015609746424;-0.8200346803715706;kmeans;100;glove;Moyenne;TF
7;k-means++;10;0.0001;1050316.25;0.3550681452306198;7462.463605522005;-0.7831874423715196;kmeans;100;glove;Moyenne;TF
7;random;10;0.0001;1050444.75;0.3538267577238885;7461.298174259977;-0.7968506977241305;kmeans;100;glove;Moyenne;TF
13;random;10;0.0001;577359.9375;0.34403734619588605;7431.29277939218;-0.7592290398395785;kmeans;100;glove;Moyenne;TF
13;k-means++;10;0.0001;577967.6875;0.34271046860037097;7423.515471176981;-0.7437877861564768;kmeans;100;glove;Moyenne;TF
11;random;10;0.0001;682430.6875;0.3456560865063128;7400.017166351644;-0.7756981624114399;kmeans;100;glove;Moyenne;TF
11;k-means++;10;0.0001;684462.4375;0.34232271868488556;7375.176238643044;-0.7576956674984487;kmeans;100;glove;Moyenne;TF
4;random;10;0.0001;1805276.125;0.3648202610817258;7362.187945827858;-0.8374239091019495;kmeans;100;glove;Moyenne;TF
4;k-means++;10;0.0001;1805312.125;0.3645706514508746;7361.963399550092;-0.851417576896682;kmeans;100;glove;Moyenne;TF
