K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
4;k-means++;10;0.0001;4456327.5;0.4695864064528719;12803.82276852066;-0.6444460100247781;kmeans;75;cbow;Moyenne;TFIDF
4;random;10;0.0001;4456537.0;0.4695482180935392;12803.24700923086;-0.644420767510304;kmeans;75;cbow;Moyenne;TFIDF
3;random;10;0.0001;6911723.5;0.47512674973550906;10696.592484569193;-0.5937777146977312;kmeans;75;cbow;Moyenne;TFIDF
3;k-means++;10;0.0001;6911723.5;0.47512674973550906;10696.592484569193;-0.5937777146977312;kmeans;75;cbow;Moyenne;TFIDF
2;k-means++;10;0.0001;12526310.0;0.43501567243656997;7547.784969949415;-0.6727125121004089;kmeans;75;cbow;Moyenne;TFIDF
2;random;10;0.0001;12526362.0;0.4350167373326416;7547.723112242534;-0.6727998470925247;kmeans;75;cbow;Moyenne;TFIDF
14;random;10;0.0001;659184.9375;0.4002539970187272;19221.243223875703;-0.5426025883664614;kmeans;100;cbow;Moyenne;TFIDF
13;k-means++;10;0.0001;714455.9375;0.4015517109361481;19153.45206453728;-0.5370854597209628;kmeans;100;cbow;Moyenne;TFIDF
13;random;10;0.0001;714475.8125;0.40147603111875285;19152.442725206794;-0.5682326717224234;kmeans;100;cbow;Moyenne;TFIDF
14;k-means++;10;0.0001;662019.75;0.40056072159955153;19136.50048344406;-0.5766940529919171;kmeans;100;cbow;Moyenne;TFIDF
12;random;10;0.0001;787116.125;0.40783474800516784;18887.25434272101;-0.6126243169924255;kmeans;100;cbow;Moyenne;TFIDF
12;k-means++;10;0.0001;787591.6875;0.40697952522355657;18876.06841463971;-0.6102438456548539;kmeans;100;cbow;Moyenne;TFIDF
11;k-means++;10;0.0001;874265.5625;0.39168934891510526;18613.438501045577;-0.6268262457125379;kmeans;100;cbow;Moyenne;TFIDF
11;random;10;0.0001;875095.375;0.41308543660084923;18594.64379181939;-0.6168680397643886;kmeans;100;cbow;Moyenne;TFIDF
10;k-means++;10;0.0001;969457.8125;0.40505192036723314;18548.922064732764;-0.6381680689928603;kmeans;100;cbow;Moyenne;TFIDF
10;random;10;0.0001;973609.8125;0.3998473903178884;18466.010592570776;-0.6704407222754911;kmeans;100;cbow;Moyenne;TFIDF
9;k-means++;10;0.0001;1097911.25;0.41147973172309416;18289.07715122065;-0.6742172982579837;kmeans;100;cbow;Moyenne;TFIDF
9;random;10;0.0001;1098427.25;0.4112459884363706;18280.438048940672;-0.7094043041323193;kmeans;100;cbow;Moyenne;TFIDF
8;k-means++;10;0.0001;1255631.875;0.425450428524685;18107.41259711679;-0.662280232381814;kmeans;100;cbow;Moyenne;TFIDF
8;random;10;0.0001;1261506.125;0.4254458799733346;18017.559525975244;-0.6045353450138916;kmeans;100;cbow;Moyenne;TFIDF
7;k-means++;10;0.0001;1475220.0;0.44350888227161517;17747.58493162929;-0.6284070966638652;kmeans;100;cbow;Moyenne;TFIDF
7;random;10;0.0001;1476127.5;0.44324096535147023;17735.553677959182;-0.6418857590783736;kmeans;100;cbow;Moyenne;TFIDF
6;k-means++;10;0.0001;1825565.5;0.46175173417804355;16847.01611062544;-0.5881906987617749;kmeans;100;cbow;Moyenne;TFIDF
6;random;10;0.0001;1825631.75;0.460875026150691;16846.209069446235;-0.5884040685104757;kmeans;100;cbow;Moyenne;TFIDF
5;k-means++;10;0.0001;2350676.5;0.4754517569992142;15825.6593188946;-0.686440614412767;kmeans;100;cbow;Moyenne;TFIDF
5;random;10;0.0001;2350997.5;0.47555619991755577;15823.4478657686;-0.6908281252749962;kmeans;100;cbow;Moyenne;TFIDF
4;k-means++;10;0.0001;3365537.5;0.48144808570684766;13785.192165020806;-0.6435890171674941;kmeans;100;cbow;Moyenne;TFIDF
4;random;10;0.0001;3365578.75;0.48145733128465573;13785.076362307866;-0.6436235133072438;kmeans;100;cbow;Moyenne;TFIDF
3;random;10;0.0001;5338729.0;0.4860531045333721;11281.525160906769;-0.7564424103984795;kmeans;100;cbow;Moyenne;TFIDF
3;k-means++;10;0.0001;5338729.0;0.4860531045333721;11281.525160906769;-0.7564424103984795;kmeans;100;cbow;Moyenne;TFIDF
2;random;10;0.0001;9481879.0;0.455539767446435;8554.199565479366;-0.7629442371665505;kmeans;100;cbow;Moyenne;TFIDF
2;k-means++;10;0.0001;9481902.0;0.455539767446435;8554.199565479366;-0.7629442371665505;kmeans;100;cbow;Moyenne;TFIDF
14;k-means++;10;0.0001;475480.6875;0.4016778594782652;20761.191017011453;-0.5149742789753486;kmeans;125;cbow;Moyenne;TFIDF
14;random;10;0.0001;475937.90625;0.40128400664783903;20740.960164159016;-0.5590805066279595;kmeans;125;cbow;Moyenne;TFIDF
13;random;10;0.0001;518931.46875;0.4010611465026942;20544.50890977185;-0.5963474570099332;kmeans;125;cbow;Moyenne;TFIDF
13;k-means++;10;0.0001;519071.0;0.4010835902733753;20540.909712452885;-0.5615610013995905;kmeans;125;cbow;Moyenne;TFIDF
12;random;10;0.0001;571667.5625;0.4058143380737179;20266.948296542458;-0.619007505440583;kmeans;125;cbow;Moyenne;TFIDF
12;k-means++;10;0.0001;572089.4375;0.405436364283723;20252.941371780573;-0.6002333359436056;kmeans;125;cbow;Moyenne;TFIDF
11;k-means++;10;0.0001;627424.0;0.3942968966483654;20231.126368474448;-0.6091225988102924;kmeans;125;cbow;Moyenne;TFIDF
10;k-means++;10;0.0001;694577.3125;0.40620857239977215;20205.976614175466;-0.6328987021708634;kmeans;125;cbow;Moyenne;TFIDF
10;random;10;0.0001;695721.375;0.4051046260802816;20171.848756073494;-0.6053328089545842;kmeans;125;cbow;Moyenne;TFIDF
11;random;10;0.0001;635746.125;0.4075035231151579;19953.786743386434;-0.6787981037497238;kmeans;125;cbow;Moyenne;TFIDF
9;k-means++;10;0.0001;788989.5625;0.4152742062769881;19871.067666270286;-0.5889182226099736;kmeans;125;cbow;Moyenne;TFIDF
9;random;10;0.0001;790050.0625;0.4141854669219222;19843.82097721692;-0.6392788878222495;kmeans;125;cbow;Moyenne;TFIDF
8;k-means++;10;0.0001;905428.5625;0.42914669477700956;19616.859640203966;-0.7239029500052275;kmeans;125;cbow;Moyenne;TFIDF
8;random;10;0.0001;909487.6875;0.4292873262922743;19523.548972659453;-0.6284566675166048;kmeans;125;cbow;Moyenne;TFIDF
7;k-means++;10;0.0001;1062338.25;0.44847774177569905;19274.396486463822;-0.6921572026582157;kmeans;125;cbow;Moyenne;TFIDF
7;random;10;0.0001;1062692.0;0.4490552595817889;19268.198043599234;-0.6162471847980419;kmeans;125;cbow;Moyenne;TFIDF
6;k-means++;10;0.0001;1324539.875;0.46764572984581954;18176.27634315176;-0.6837196325255097;kmeans;125;cbow;Moyenne;TFIDF
6;random;10;0.0001;1324548.625;0.4676371315529938;18176.20949025011;-0.6836711930528898;kmeans;125;cbow;Moyenne;TFIDF
5;random;10;0.0001;1698388.25;0.48543484303536416;17198.316489443314;-0.6885023572572211;kmeans;125;cbow;Moyenne;TFIDF
5;k-means++;10;0.0001;1698475.875;0.485367108654002;17197.52982757646;-0.6891751687322446;kmeans;125;cbow;Moyenne;TFIDF
4;random;10;0.0001;2447179.5;0.49351599958366715;14947.816358447439;-0.6401194650575296;kmeans;125;cbow;Moyenne;TFIDF
4;k-means++;10;0.0001;2447179.75;0.49351599958366715;14947.816358447439;-0.6401194650575295;kmeans;125;cbow;Moyenne;TFIDF
3;random;10;0.0001;3956807.75;0.4931371194311934;12056.802825332028;-0.6894090395563609;kmeans;125;cbow;Moyenne;TFIDF
3;k-means++;10;0.0001;3956808.25;0.4931371194311934;12056.802825332028;-0.6894090395563609;kmeans;125;cbow;Moyenne;TFIDF
2;random;10;0.0001;7154046.5;0.4657028502035101;9093.173943264257;-0.7693006373982222;kmeans;125;cbow;Moyenne;TFIDF
2;k-means++;10;0.0001;7154046.0;0.4657028502035101;9093.173943264257;-0.7693006373982222;kmeans;125;cbow;Moyenne;TFIDF
14;k-means++;10;0.0001;373282.625;0.4008508630733524;21993.269983345584;-0.6051447039679568;kmeans;150;cbow;Moyenne;TFIDF
14;random;10;0.0001;373508.75;0.4007790037229717;21982.48899474815;-0.5735259170024418;kmeans;150;cbow;Moyenne;TFIDF
13;k-means++;10;0.0001;406039.78125;0.4011934927887613;21842.376051546253;-0.586572667922984;kmeans;150;cbow;Moyenne;TFIDF
13;random;10;0.0001;406124.125;0.4015002826288129;21836.983191579162;-0.5707251826929082;kmeans;150;cbow;Moyenne;TFIDF
10;k-means++;10;0.0001;541840.9375;0.4109121851866022;21567.19154228597;-0.6335873340430448;kmeans;150;cbow;Moyenne;TFIDF
12;random;10;0.0001;447460.6875;0.4048748653123701;21544.19499818091;-0.6064538708071214;kmeans;150;cbow;Moyenne;TFIDF
11;k-means++;10;0.0001;490602.625;0.39560110380671865;21533.904281656116;-0.606966061812542;kmeans;150;cbow;Moyenne;TFIDF
12;k-means++;10;0.0001;448346.53125;0.40519040106177834;21501.6137568052;-0.5620859132986887;kmeans;150;cbow;Moyenne;TFIDF
11;random;10;0.0001;496949.875;0.4084340770170994;21246.367118029175;-0.6051665638670806;kmeans;150;cbow;Moyenne;TFIDF
9;k-means++;10;0.0001;615605.375;0.4169623188385405;21214.759609271867;-0.6126258768692875;kmeans;150;cbow;Moyenne;TFIDF
10;random;10;0.0001;551092.5625;0.40137380992635663;21186.997366948617;-0.6435254970920136;kmeans;150;cbow;Moyenne;TFIDF
9;random;10;0.0001;616445.875;0.41639601349112626;21186.66126422227;-0.6296432911851388;kmeans;150;cbow;Moyenne;TFIDF
