K;initialisation;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2;nb_iter;tolerance
9;k-means++;3455758.0;0.37366562074295595;8841.569683796839;-0.7795630776405569;kmeans;50;glove;WMD;Distance;10;0.0001
13;k-means++;2407708.5;0.3629570401751526;8800.878517623769;-0.78365202768035;kmeans;50;glove;WMD;Distance;10;0.0001
13;random;2409355.5;0.35572270914633164;8794.551199634097;-0.7751066719565228;kmeans;50;glove;WMD;Distance;10;0.0001
14;random;2246655.5;0.3538259323620896;8757.493870584778;-0.791125986258551;kmeans;50;glove;WMD;Distance;10;0.0001
8;random;3935680.25;0.3615548629004963;8708.201128572902;-0.8080049847837837;kmeans;50;glove;WMD;Distance;10;0.0001
14;k-means++;2259051.0;0.35022350545319425;8705.709399606367;-0.7516589874861754;kmeans;50;glove;WMD;Distance;10;0.0001
8;k-means++;3942077.5;0.36123650722697953;8691.962256125795;-0.8278103661141608;kmeans;50;glove;WMD;Distance;10;0.0001
7;k-means++;4550420.0;0.3713840279430659;8574.046890689018;-0.8446063202458878;kmeans;50;glove;WMD;Distance;10;0.0001
7;random;4551160.0;0.3717236552829096;8572.413641427122;-0.8326406989083319;kmeans;50;glove;WMD;Distance;10;0.0001
6;k-means++;5301113.5;0.3819174168495173;8564.106520688101;-0.8327543967473391;kmeans;50;glove;WMD;Distance;10;0.0001
6;random;5301500.0;0.3820350572058975;8563.24072980241;-0.7975601041149951;kmeans;50;glove;WMD;Distance;10;0.0001
5;k-means++;6420674.5;0.36452294771928295;8425.13634544278;-0.8422674477326476;kmeans;50;glove;WMD;Distance;10;0.0001
5;random;6421011.0;0.36442704982515983;8424.768013105417;-0.8425069617133354;kmeans;50;glove;WMD;Distance;10;0.0001
4;random;8270953.0;0.36674487291718705;8013.281456414051;-0.8515964893049635;kmeans;50;glove;WMD;Distance;10;0.0001
4;k-means++;8271462.5;0.36680888320453675;8012.784120381359;-0.8447289098196291;kmeans;50;glove;WMD;Distance;10;0.0001
3;random;11357093.0;0.3707937787388511;7464.027086625642;-0.8813383347422047;kmeans;50;glove;WMD;Distance;10;0.0001
3;k-means++;11359389.0;0.3707997415595676;7461.728934700643;-0.8818114844673834;kmeans;50;glove;WMD;Distance;10;0.0001
