K;Solver;MinSilhouette;silhouette;Cal-Harabasz;DBCV;ANMI;perplexity;wordEmbedding;docEmbedding;docEmbedding2;listClustering
2;mcla;-1;0.44359167133224825;11043.694401428957;-0.6325912671288141;0.4072043963508042;200;skipgram;Moyenne;TFIDF;kmeans-gmm
2;mcla;0;0.44377594471861903;11051.808039357582;-0.6325585645779342;0.4073345454996446;200;skipgram;Moyenne;TFIDF;kmeans-gmm
2;mcla;0.45;0.4921010120928191;13102.152553550539;-0.7219060211411025;0.8566040640893465;200;skipgram;Moyenne;TFIDF;kmeans-gmm
3;mcla;-1;0.4151863760513157;11537.574161147875;-0.7300450932212105;0.5512904652394796;200;skipgram;Moyenne;TFIDF;kmeans-gmm
3;mcla;0;0.4152641408340702;11535.218824267437;-0.7310099954182075;0.5512094737568153;200;skipgram;Moyenne;TFIDF;kmeans-gmm
3;mcla;0.45;0.16494843108084348;6641.598196699511;-0.7159775601661117;0.838829502233322;200;skipgram;Moyenne;TFIDF;kmeans-gmm
4;mcla;-1;0.35200531840182;10261.885830919291;-0.6720419756399219;0.5793543148362481;200;skipgram;Moyenne;TFIDF;kmeans-gmm
4;mcla;0;0.3520591113928713;10261.393854406786;-0.6720632069332756;0.5795046859099472;200;skipgram;Moyenne;TFIDF;kmeans-gmm
4;mcla;0.45;0.0076659506003917514;4467.464994975394;-0.9992087696286042;0.5753620841026714;200;skipgram;Moyenne;TFIDF;kmeans-gmm
5;mcla;-1;0.3709447889025516;11749.018354507458;-0.6806602082044193;0.6410740869963355;200;skipgram;Moyenne;TFIDF;kmeans-gmm
5;mcla;0;0.3708454303879501;11747.784333598835;-0.674606934964888;0.6411431422606659;200;skipgram;Moyenne;TFIDF;kmeans-gmm
5;mcla;0.45;-0.004986151507790031;3511.4311595814256;;0.8185000360806177;200;skipgram;Moyenne;TFIDF;kmeans-gmm
6;mcla;-1;0.32464943658776496;10279.698557480742;-0.6196851094991916;0.6543543906841415;200;skipgram;Moyenne;TFIDF;kmeans-gmm
6;mcla;0;0.32472856574882825;10283.697845395393;-0.665955486524553;0.6544747416739873;200;skipgram;Moyenne;TFIDF;kmeans-gmm
6;mcla;0.45;-0.03360700530273635;2647.7247979631047;-0.885583904266168;0.46199250886527005;200;skipgram;Moyenne;TFIDF;kmeans-gmm
7;mcla;-1;0.3668828408209351;12653.475806363367;-0.6920244428688542;0.6710625895045514;200;skipgram;Moyenne;TFIDF;kmeans-gmm
7;mcla;0;0.3664532838951314;12627.880337230321;-0.6625121081746416;0.6707872848110145;200;skipgram;Moyenne;TFIDF;kmeans-gmm
5;mcla;0.45;-0.020639681128192616;3288.066326524587;-0.8753432670457391;0.5117844094013924;200;skipgram;Moyenne;TFIDF;kmeans-gmm
8;mcla;-1;0.31532560453492514;10547.917176702003;-0.6195508479847487;0.6511261568558893;200;skipgram;Moyenne;TFIDF;kmeans-gmm
8;mcla;0;0.31555086512941705;10555.944568074274;-0.6448048620557701;0.6513890136820778;200;skipgram;Moyenne;TFIDF;kmeans-gmm
4;mcla;0.45;0.006119574615210025;4426.452982090108;-0.9991495311311156;0.5528537315215067;200;skipgram;Moyenne;TFIDF;kmeans-gmm
9;mcla;-1;0.3478514375850944;12511.160725577114;-0.6238336745686749;0.6916359000820989;200;skipgram;Moyenne;TFIDF;kmeans-gmm
9;mcla;0;0.3479416917634302;12514.334657426196;-0.6336154772850285;0.6916429821919446;200;skipgram;Moyenne;TFIDF;kmeans-gmm
9;mcla;0.45;-0.04883320576984551;1695.7582754979685;-0.8250509362237898;0.4260194158420206;200;skipgram;Moyenne;TFIDF;kmeans-gmm
10;mcla;-1;0.3677033212905627;13001.928416325944;-0.6217955988337002;0.6933494800376642;200;skipgram;Moyenne;TFIDF;kmeans-gmm
10;mcla;0;0.36761953730085234;12997.31691886105;-0.6201556515070938;0.6934502514787368;200;skipgram;Moyenne;TFIDF;kmeans-gmm
9;mcla;0.45;-0.020106903447968474;1709.7796075240135;-0.7528996013065096;0.4480016715726723;200;skipgram;Moyenne;TFIDF;kmeans-gmm
11;mcla;-1;0.3574429847383908;12704.265286330317;-0.6180746987155272;0.6943950580803733;200;skipgram;Moyenne;TFIDF;kmeans-gmm
11;mcla;0;0.35728406661845125;12694.864625544558;-0.6192710654071281;0.694397778061092;200;skipgram;Moyenne;TFIDF;kmeans-gmm
9;mcla;0.45;-0.08986349366216023;1672.286023249765;-0.7829127790083551;0.4718290102104796;200;skipgram;Moyenne;TFIDF;kmeans-gmm
12;mcla;-1;0.36780333806117643;13471.146227637473;-0.6435493292990712;0.6907698720363109;200;skipgram;Moyenne;TFIDF;kmeans-gmm
12;mcla;0;0.36795365184867423;13479.51467756754;-0.6529595454762958;0.690803716367173;200;skipgram;Moyenne;TFIDF;kmeans-gmm
12;mcla;0.45;-0.0534214408701797;1166.1296129969821;-0.8513250292539237;0.3446747332359424;200;skipgram;Moyenne;TFIDF;kmeans-gmm
13;mcla;-1;0.3574787038173244;13268.515943492708;-0.6100410611179393;0.6854813057634944;200;skipgram;Moyenne;TFIDF;kmeans-gmm
13;mcla;0;0.3569332757634808;13247.80849432931;-0.594385274869474;0.685499266028115;200;skipgram;Moyenne;TFIDF;kmeans-gmm
1;mcla;0.45;;;;2.46405952910553e-15;200;skipgram;Moyenne;TFIDF;kmeans-gmm
14;mcla;-1;0.3495612871330907;13019.75664114322;-0.6560581249502714;0.6871623551104294;200;skipgram;Moyenne;TFIDF;kmeans-gmm
