model;dim;corr_p;corr_s;stress;time
glove2;1;0.19913221341722923;0.24920933187775984;25537014307557.33;1955.8687875270844
glove2;2;0.1745374470632143;0.20015647874559944;13579219732936.357;2484.6150534152985
glove2;3;0.11874449551065035;0.12666784832300754;8628973886409.643;1571.0959587097168
glove2;4;0.11173537473660429;0.0974881126058753;6063459249247.706;5148.172857761383
glove2;5;0.12380622223201564;0.10029984017165476;4645386109687.598;3084.956794977188
glove2;5;0.1302961147628252;0.10272295868743517;4634578226601.618;3487.4207203388214
glove2;20;0.22194679756471164;0.16209690649560926;1042227329518.1627;2126.042966365814
glove2;50;0.3049131334462331;0.22139526013713484;442380720941.7568;2233.268096923828
glove2;100;0.37778347276140484;0.27926784392247683;255275777189.6713;2375.5720250606537
