K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
13;k-means++;10;0.0001;2145403.25;0.38248212901958134;11198.12983678491;-0.6239384172281415;kmeans;50;skipgram;Moyenne;TFIDF
14;k-means++;10;0.0001;1995384.5;0.38256235055816057;11167.123852546893;-0.633955383560195;kmeans;50;skipgram;Moyenne;TFIDF
14;random;10;0.0001;2011342.875;0.3726805770337994;11072.661676984462;-0.5845563189814794;kmeans;50;skipgram;Moyenne;TFIDF
12;k-means++;10;0.0001;2356477.75;0.3736815476388049;11045.560076556212;-0.6037593478557756;kmeans;50;skipgram;Moyenne;TFIDF
12;random;10;0.0001;2367267.5;0.3729141318122241;10991.203371114882;-0.6440443380114721;kmeans;50;skipgram;Moyenne;TFIDF
11;k-means++;10;0.0001;2602364.75;0.3794069543110479;10913.436916714476;-0.6585972025031234;kmeans;50;skipgram;Moyenne;TFIDF
10;k-means++;10;0.0001;2866882.5;0.3773120459558461;10911.07723348265;-0.6371044407883054;kmeans;50;skipgram;Moyenne;TFIDF
10;random;10;0.0001;2867882.75;0.3764822085438294;10906.877558727763;-0.6356145121187866;kmeans;50;skipgram;Moyenne;TFIDF
11;random;10;0.0001;2604192.5;0.3788629705479433;10905.470246630743;-0.6606587102335744;kmeans;50;skipgram;Moyenne;TFIDF
9;k-means++;10;0.0001;3228361.0;0.388371327059331;10768.810623242147;-0.605756157867946;kmeans;50;skipgram;Moyenne;TFIDF
9;random;10;0.0001;3228511.0;0.3886171556845459;10768.496959016336;-0.603911230696059;kmeans;50;skipgram;Moyenne;TFIDF
6;random;10;0.0001;4980270.0;0.3986264140027797;10504.42300572144;-0.7491516076117111;kmeans;50;skipgram;Moyenne;TFIDF
6;k-means++;10;0.0001;4980717.0;0.39865347185622646;10503.400872721186;-0.7510440912982618;kmeans;50;skipgram;Moyenne;TFIDF
8;random;10;0.0001;3734902.0;0.37154184538668944;10455.868082021978;-0.6040824579164312;kmeans;50;skipgram;Moyenne;TFIDF
8;k-means++;10;0.0001;3735212.75;0.3722367752158763;10454.588329277622;-0.6458837948673147;kmeans;50;skipgram;Moyenne;TFIDF
7;random;10;0.0001;4292590.0;0.376621001519899;10408.723597715465;-0.6257257108587014;kmeans;50;skipgram;Moyenne;TFIDF
7;k-means++;10;0.0001;4292690.5;0.3764112406442954;10408.609455179467;-0.625656158381274;kmeans;50;skipgram;Moyenne;TFIDF
5;random;10;0.0001;6061901.0;0.3912256587981283;10365.274793355027;-0.6917160928288114;kmeans;50;skipgram;Moyenne;TFIDF
5;k-means++;10;0.0001;6062361.5;0.39133778992527346;10364.366521688478;-0.6832178225631664;kmeans;50;skipgram;Moyenne;TFIDF
4;k-means++;10;0.0001;7704839.0;0.4102226980239333;10199.572770991646;-0.7433660098887762;kmeans;50;skipgram;Moyenne;TFIDF
4;random;10;0.0001;7705025.0;0.41023588640130154;10199.176070087464;-0.7204048753550774;kmeans;50;skipgram;Moyenne;TFIDF
3;k-means++;10;0.0001;11297602.0;0.4029497241775809;8924.916750412518;-0.7306040290313816;kmeans;50;skipgram;Moyenne;TFIDF
3;random;10;0.0001;11298990.0;0.4046057054494266;8923.133413460744;-0.7466261590022936;kmeans;50;skipgram;Moyenne;TFIDF
2;k-means++;10;0.0001;16845372.0;0.4216085361817008;8843.856933239756;-0.6545560198778634;kmeans;50;skipgram;Moyenne;TFIDF
2;random;10;0.0001;16845558.0;0.42158502413229176;8843.762054353774;-0.6545518965693893;kmeans;50;skipgram;Moyenne;TFIDF
13;random;10;0.0001;1397450.625;0.3823191741707452;11629.151939045863;-0.5490648921779454;kmeans;75;skipgram;Moyenne;TFIDF
14;k-means++;10;0.0001;1296322.25;0.38675805612287933;11627.620777232787;-0.5864631815643748;kmeans;75;skipgram;Moyenne;TFIDF
13;k-means++;10;0.0001;1397967.625;0.38344313896552057;11624.151239346867;-0.5786304901645241;kmeans;75;skipgram;Moyenne;TFIDF
14;random;10;0.0001;1298352.375;0.37049506340831284;11608.442522260102;-0.570672866606449;kmeans;75;skipgram;Moyenne;TFIDF
12;random;10;0.0001;1536308.0;0.37102884842815453;11462.814973922037;-0.5538730026962023;kmeans;75;skipgram;Moyenne;TFIDF
10;random;10;0.0001;1850048.375;0.38057232951101666;11457.518988081818;-0.6533172343047899;kmeans;75;skipgram;Moyenne;TFIDF
10;k-means++;10;0.0001;1850126.125;0.38055656733067855;11457.051842165873;-0.640356730971439;kmeans;75;skipgram;Moyenne;TFIDF
12;k-means++;10;0.0001;1537559.75;0.38343860852515255;11453.07085097484;-0.6282843650553153;kmeans;75;skipgram;Moyenne;TFIDF
11;k-means++;10;0.0001;1681238.0;0.3843273819300965;11441.484639687076;-0.5879326841722259;kmeans;75;skipgram;Moyenne;TFIDF
11;random;10;0.0001;1683029.125;0.38072697777422027;11428.423142070242;-0.614017062351156;kmeans;75;skipgram;Moyenne;TFIDF
9;random;10;0.0001;2099713.0;0.3872972536806798;11217.11289476539;-0.6259607856457766;kmeans;75;skipgram;Moyenne;TFIDF
9;k-means++;10;0.0001;2099915.5;0.3852984430795663;11216.360442861933;-0.646655774950081;kmeans;75;skipgram;Moyenne;TFIDF
8;k-means++;10;0.0001;2415082.5;0.37078165562022786;10969.83134588771;-0.6117898782109625;kmeans;75;skipgram;Moyenne;TFIDF
8;random;10;0.0001;2415267.0;0.37091045110387233;10968.981370232486;-0.596149657297411;kmeans;75;skipgram;Moyenne;TFIDF
7;k-means++;10;0.0001;2780165.0;0.3768434357836619;10910.84637139946;-0.6729356236074095;kmeans;75;skipgram;Moyenne;TFIDF
7;random;10;0.0001;2780359.25;0.3767734064140758;10910.061391346006;-0.6712600851405137;kmeans;75;skipgram;Moyenne;TFIDF
6;k-means++;10;0.0001;3255972.25;0.39707579885750477;10903.323429041768;-0.6966941648524578;kmeans;75;skipgram;Moyenne;TFIDF
6;random;10;0.0001;3256231.0;0.3967964589806997;10902.57705549902;-0.7063842103633761;kmeans;75;skipgram;Moyenne;TFIDF
5;random;10;0.0001;3975982.0;0.3891890256295448;10732.286901861564;-0.6622365013029732;kmeans;75;skipgram;Moyenne;TFIDF
5;k-means++;10;0.0001;3976144.75;0.3892665370673525;10731.874555238624;-0.669820790065278;kmeans;75;skipgram;Moyenne;TFIDF
4;k-means++;10;0.0001;5013687.0;0.411763342103157;10693.822883383467;-0.7403274428252778;kmeans;75;skipgram;Moyenne;TFIDF
4;random;10;0.0001;5014120.5;0.41171897110371486;10693.101492919282;-0.7399046965059421;kmeans;75;skipgram;Moyenne;TFIDF
2;random;10;0.0001;10907728.0;0.4354155723714485;9616.389767233914;-0.6238839690876881;kmeans;75;skipgram;Moyenne;TFIDF
2;k-means++;10;0.0001;10908075.0;0.43546662363035465;9616.032229186023;-0.6196946515050166;kmeans;75;skipgram;Moyenne;TFIDF
3;random;10;0.0001;7369137.0;0.4082554422724417;9396.905217454634;-0.7800697679483605;kmeans;75;skipgram;Moyenne;TFIDF
