voisinage;min_cluster_size;distance;K;silhouette;Cal-Harabasz;DBCV;non_classes;perplexity;wordEmbedding;docEmbedding;docEmbedding2
30;14;precomputed;4;0.2802255574362397;;0.09969656258218486;1043;;cbow;WMD;Distance
38;14;precomputed;3;0.3624825670427986;;0.0904084809098607;543;;cbow;WMD;Distance
38;11;precomputed;3;0.3624825670427986;;0.0904084809098607;543;;cbow;WMD;Distance
38;13;precomputed;3;0.3624825670427986;;0.0904084809098607;543;;cbow;WMD;Distance
38;12;precomputed;3;0.3624825670427986;;0.0904084809098607;543;;cbow;WMD;Distance
18;12;precomputed;4;0.32577475788512006;;0.09039260518193111;660;;cbow;WMD;Distance
18;14;precomputed;4;0.32577475788512006;;0.09039260518193111;660;;cbow;WMD;Distance
18;13;precomputed;4;0.32577475788512006;;0.09039260518193111;660;;cbow;WMD;Distance
43;10;precomputed;3;0.36740513734799246;;0.08968019212960038;513;;cbow;WMD;Distance
43;11;precomputed;3;0.36740513734799246;;0.08968019212960038;513;;cbow;WMD;Distance
39;10;precomputed;3;0.35225636726010745;;0.08957041854629602;508;;cbow;WMD;Distance
39;11;precomputed;3;0.35225636726010745;;0.08957041854629602;508;;cbow;WMD;Distance
42;10;precomputed;6;0.30376217081958695;;0.08901148032989357;695;;cbow;WMD;Distance
30;11;precomputed;3;0.35175338015336266;;0.08716117546814658;548;;cbow;WMD;Distance
30;10;precomputed;3;0.35175338015336266;;0.08716117546814658;548;;cbow;WMD;Distance
30;12;precomputed;3;0.35175338015336266;;0.08716117546814658;548;;cbow;WMD;Distance
44;12;precomputed;5;0.2657758877070551;;0.08628476721221032;1039;;cbow;WMD;Distance
44;13;precomputed;5;0.2657758877070551;;0.08628476721221032;1039;;cbow;WMD;Distance
44;14;precomputed;5;0.2657758877070551;;0.08628476721221032;1039;;cbow;WMD;Distance
16;13;precomputed;3;0.31729423036743054;;0.08473456607459577;756;;cbow;WMD;Distance
16;12;precomputed;3;0.31729423036743054;;0.08473456607459577;756;;cbow;WMD;Distance
41;13;precomputed;4;0.29539873482798173;;0.08380174285416787;909;;cbow;WMD;Distance
49;13;precomputed;6;0.2828094065276643;;0.0837650616652247;937;;cbow;WMD;Distance
49;14;precomputed;6;0.2828094065276643;;0.0837650616652247;937;;cbow;WMD;Distance
41;10;precomputed;5;0.3379654489337519;;0.08337462297661803;628;;cbow;WMD;Distance
17;13;precomputed;5;0.3219064934608062;;0.08245175858606173;647;;cbow;WMD;Distance
17;12;precomputed;5;0.3219064934608062;;0.08245175858606173;647;;cbow;WMD;Distance
35;12;precomputed;3;0.3428936059560879;;0.08243785893991251;688;;cbow;WMD;Distance
35;14;precomputed;3;0.3428936059560879;;0.08243785893991251;688;;cbow;WMD;Distance
35;13;precomputed;3;0.3428936059560879;;0.08243785893991251;688;;cbow;WMD;Distance
21;11;precomputed;5;0.33040637063054035;;0.08232594253649884;647;;cbow;WMD;Distance
21;10;precomputed;8;0.3292236436112514;;0.08196349295795016;617;;cbow;WMD;Distance
27;11;precomputed;5;0.34291932612601667;;0.07997140721818478;578;;cbow;WMD;Distance
27;10;precomputed;6;0.33648114659252987;;0.07972030709019343;591;;cbow;WMD;Distance
25;11;precomputed;5;0.30246050709230177;;0.07900870504581899;802;;cbow;WMD;Distance
6;13;precomputed;3;0.3190474322753499;;0.07485678839274514;856;;cbow;WMD;Distance
6;14;precomputed;3;0.3190474322753499;;0.07485678839274514;856;;cbow;WMD;Distance
6;12;precomputed;4;0.29403629144071153;;0.07444904706783144;916;;cbow;WMD;Distance
12;12;precomputed;4;0.32668841055871417;;0.06913679964493895;719;;cbow;WMD;Distance
200;14;precomputed;3;0.2895373725035507;;0.06894900150521105;997;;cbow;WMD;Distance
12;11;precomputed;6;0.31708922281355467;;0.06882316855740492;718;;cbow;WMD;Distance
23;13;precomputed;3;0.34506044544070086;;0.06827926229946116;629;;cbow;WMD;Distance
23;14;precomputed;3;0.34506044544070086;;0.06827926229946116;629;;cbow;WMD;Distance
23;12;precomputed;4;0.3116691197252369;;0.06790910377850662;665;;cbow;WMD;Distance
23;10;precomputed;4;0.3116691197252369;;0.06790910377850662;665;;cbow;WMD;Distance
23;11;precomputed;4;0.3116691197252369;;0.06790910377850662;665;;cbow;WMD;Distance
3;14;precomputed;3;0.3208604629591515;;0.06738960521446685;736;;cbow;WMD;Distance
39;12;precomputed;3;0.33172050536830366;;0.05868435371726058;651;;cbow;WMD;Distance
26;12;precomputed;3;0.39947300273349656;;0.05725490582167734;305;;cbow;WMD;Distance
26;11;precomputed;3;0.39947300273349656;;0.05725490582167734;305;;cbow;WMD;Distance
26;10;precomputed;3;0.39947300273349656;;0.05725490582167734;305;;cbow;WMD;Distance
34;10;precomputed;5;0.33945401814846327;;0.05178534318467271;628;;cbow;WMD;Distance
13;12;precomputed;6;0.28207679378614975;;0.0506831422081406;887;;cbow;WMD;Distance
34;12;precomputed;3;0.38621519530643245;;0.05031913642553741;458;;cbow;WMD;Distance
34;13;precomputed;3;0.38621519530643245;;0.05031913642553741;458;;cbow;WMD;Distance
34;11;precomputed;3;0.38621519530643245;;0.05031913642553741;458;;cbow;WMD;Distance
150;14;precomputed;3;0.29556388287574137;;0.050281030140169415;935;;cbow;WMD;Distance
45;11;precomputed;4;0.3653280449981626;;0.04750402306650477;522;;cbow;WMD;Distance
41;14;precomputed;3;0.29842006955738054;;0.04585460207292448;867;;cbow;WMD;Distance
43;14;precomputed;3;0.30103105424938104;;0.043331065425022325;861;;cbow;WMD;Distance
45;14;precomputed;4;0.3041241596802833;;0.042997577819077336;859;;cbow;WMD;Distance
45;13;precomputed;4;0.3041241596802833;;0.042997577819077336;859;;cbow;WMD;Distance
14;13;precomputed;3;0.32916383239675423;;0.04188926232374853;604;;cbow;WMD;Distance
16;11;precomputed;5;0.31620097305132633;;0.04185871476353684;734;;cbow;WMD;Distance
43;12;precomputed;6;0.2802205363022512;;0.04153949791939411;920;;cbow;WMD;Distance
43;13;precomputed;6;0.2802205363022512;;0.04153949791939411;920;;cbow;WMD;Distance
46;13;precomputed;3;0.3023118663001489;;0.03797325803753754;898;;cbow;WMD;Distance
46;12;precomputed;3;0.3023118663001489;;0.03797325803753754;898;;cbow;WMD;Distance
46;14;precomputed;3;0.3023118663001489;;0.03797325803753754;898;;cbow;WMD;Distance
47;13;precomputed;3;0.30706013176887653;;0.03787397816659836;903;;cbow;WMD;Distance
47;14;precomputed;3;0.30706013176887653;;0.03787397816659836;903;;cbow;WMD;Distance
47;12;precomputed;3;0.30706013176887653;;0.03787397816659836;903;;cbow;WMD;Distance
35;11;precomputed;4;0.32223698479199997;;0.03336251718135705;721;;cbow;WMD;Distance
35;10;precomputed;5;0.3136018402861234;;0.03323490296365359;760;;cbow;WMD;Distance
10;14;precomputed;3;0.36832700472677377;;0.03199105438359956;499;;cbow;WMD;Distance
10;13;precomputed;3;0.36832700472677377;;0.03199105438359956;499;;cbow;WMD;Distance
47;11;precomputed;4;0.31198493324044446;;0.028666934556891174;730;;cbow;WMD;Distance
3;10;precomputed;3;0.34550197582414166;;0.027629278444326326;540;;cbow;WMD;Distance
3;11;precomputed;3;0.34550197582414166;;0.027629278444326326;540;;cbow;WMD;Distance
3;12;precomputed;3;0.34550197582414166;;0.027629278444326326;540;;cbow;WMD;Distance
3;13;precomputed;3;0.34550197582414166;;0.027629278444326326;540;;cbow;WMD;Distance
45;10;precomputed;9;0.3106124247707414;;0.026069933415395204;669;;cbow;WMD;Distance
6;10;precomputed;9;0.26958018724235394;;0.02528051274207207;903;;cbow;WMD;Distance
8;12;precomputed;3;0.3015925544335539;;0.023779408085337527;839;;cbow;WMD;Distance
25;14;precomputed;3;0.2982713466983593;;0.023251844459550683;1008;;cbow;WMD;Distance
33;12;precomputed;6;0.3180864067574398;;0.02060078556355392;738;;cbow;WMD;Distance
